"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"118",2674,11,"fweikl",1,"HoliSoils","2025-04-19T11:05:03.738732Z","2022-11-14","submitted","KraS incl tomst data","undetermined","KraS_22_11_14.csv","undetermined","KraS_22_11_14_ghg_field_form.xlsx","","",FALSE,TRUE
"119",2675,11,"fweikl",1,"HoliSoils","2025-04-19T11:05:24.580515Z","2022-12-01","submitted","KraS incl tomst data","undetermined","KraS_22_12_01.csv","valid","KraS_22_12_01_ghg_field_form.xlsx","","",FALSE,TRUE
"120",2606,11,"fweikl",1,"HoliSoils","2025-04-17T14:40:36.682199Z","2022-04-13","submitted","incl tomst data","undetermined","KelM_22_04_13.csv","valid","KelM_22_04_13_ghg_field_form_done.xlsx","","",FALSE,TRUE
"121",2605,11,"fweikl",1,"HoliSoils","2025-04-17T14:39:50.121652Z","2022-03-28","submitted","incl tomst data","undetermined","KelM_22_03_28.csv","valid","KelM_22_03_28_ghg_field_form_done.xlsx","","",FALSE,TRUE
"122",2676,11,"fweikl",1,"HoliSoils","2025-04-23T06:55:46.658014Z","2022-03-28","submitted","TEST for using tab-delimited data file instread of comma delimited","undetermined","KelM_22_03_28_tabDelimited.csv","valid","KelM_22_03_28_ghg_field_form_done.xlsx","","",FALSE,TRUE
"123",2677,11,"fweikl",1,"HoliSoils","2025-04-23T06:57:38.463863Z","2022-03-28","submitted","TEST for using the other tab-delimited data format possible","undetermined","KelM_22_03_28_tabDelimited_v2.csv","valid","KelM_22_03_28_ghg_field_form_done.xlsx","","",FALSE,TRUE
"124",2678,11,"fweikl",1,"HoliSoils","2025-04-23T07:03:29.489092Z","2023-03-28","submitted","TEST with outdated field form that was successfull earlier on","undetermined","KelM_22_03_28.csv","valid","KelM_22_03_28_ghg_field_form_holisoils_general.xlsx","","",FALSE,TRUE
"125",3136,10,"sfilipek",1,"HoliSoils","2025-07-14T15:22:56.888737Z","2023-08-25","retracted","Netherlands","valid","ghg_data_file_holisoils_general_April_25_2023.txt","valid","ghg_field_form_holisoils_general_April_25_2023.xlsx","NP Hoge Veluwe Zwolse Bos","",TRUE,TRUE
"126",2170,45,"msantonja",1,"HoliSoils","2024-11-12T17:00:22.667320Z","2024-07-15","retracted","Saint-Mitre","valid","2024-07-15_st_mitre_egm5_02.TXT","valid","2024-07-15_st_mitre_egm5_02.xlsx","Saint Mitre","",TRUE,TRUE
"127",3372,11,"fweikl",1,"HoliSoils","2025-08-06T10:25:41.825187Z","2022-04-13","submitted","decimal separator test","undetermined","KelM_22_04_13.csv","valid","KelM_22_04_13_ghg_field_form__separatortest.xlsx","","",FALSE,TRUE
"128",3381,11,"fweikl",1,"HoliSoils","2025-08-06T12:33:36.193301Z","2023-01-01","submitted","test with original files from 2022","undetermined","KelM_22_03_28.csv","valid","KelM_22_03_28_ghg_field_form_holisoils_general.xlsx","","",FALSE,TRUE
"129",3373,11,"fweikl",1,"HoliSoils","2025-08-06T10:31:14.958951Z","2022-03-28","submitted","testing another licor format","undetermined","KelM_22_03_28_tabDelimTest.csv","valid","KelM_22_03_28_ghg_field_form_done.xlsx","","",FALSE,TRUE
"130",3374,11,"fweikl",1,"HoliSoils","2025-08-06T10:34:07.195396Z","2022-03-28","submitted","testing comma formatting Date file","undetermined","KelM_22_03_28_commaDelimTest.csv","valid","KelM_22_03_28_ghg_field_form_done.xlsx","","",FALSE,TRUE
"131",3436,17,"akuningas",1,"HoliSoils","2025-08-15T06:51:16.171380Z","2025-08-14","submitted","Ränskälänkorpi ditches 14.08.2025","valid","2025-08-14_ranskalankorpi_ditches_licor_TG10-01285.txt","valid","2025-08-14_ranskalankorpi_ditches_licor_TG10-01285.xlsx","Ränskälänkorpi","errors calculating autotrims",TRUE,TRUE
